Name	Date1
EPI_ISL_20645|Victoria|HA|Southeast_Asia|Bangladesh|2007-07-29	2007.57260273973
JN588952|Victoria|HA|Southeast_Asia|Cambodia|2007-11-30	2007.91232876712
EPI_ISL_29450|Victoria|HA|Southeast_Asia|CentralChina|2007-04-11	2007.27397260274
JX429651|Victoria|HA|Southeast_Asia|HongkongChina|2007-03-15	2007.2
EPI_ISL_26192|Victoria|HA|Southeast_Asia|HongkongChina|2007	2007.86072465753
EPI_ISL_20746|Victoria|HA|Southeast_Asia|HongkongChina|2007-03-07	2007.17808219178
EPI_ISL_21751|Victoria|HA|Southeast_Asia|Japan|2007-11-02	2007.83561643836
EPI_ISL_21443|Victoria|HA|Southeast_Asia|Japan|2007-11-21	2007.88767123288
EPI_ISL_21745|Victoria|HA|Southeast_Asia|Japan|2007-12-19	2007.96438356164
EPI_ISL_21752|Victoria|HA|Southeast_Asia|Japan|2007-11-09	2007.85479452055
EPI_ISL_21750|Victoria|HA|Southeast_Asia|Japan|2007-11-01	2007.83287671233
EPI_ISL_20705|Victoria|HA|Southeast_Asia|MalaysiaBrunei|2007-03-06	2007.17534246575
CY118363|Victoria|HA|Southeast_Asia|MalaysiaBrunei|2007-03-21	2007.21643835616
EPI_ISL_21556|Victoria|HA|Southeast_Asia|Nepal|2007-09-30	2007.74520547945
KT424131|Victoria|HA|Southeast_Asia|NorthChina|2007-12-26	2007.98356164384
EPI_ISL_357092|Victoria|HA|Southeast_Asia|Philippines|2007-12-04	2007.92328767123
EPI_ISL_20612|Victoria|HA|Southeast_Asia|Singapore|2007-05-01	2007.32876712329
EPI_ISL_357114|Victoria|HA|Southeast_Asia|Singapore|2007-04-29	2007.32328767123
EPI_ISL_23902|Victoria|HA|Southeast_Asia|Singapore|2007-11-27	2007.90410958904
EPI_ISL_20610|Victoria|HA|Southeast_Asia|Singapore|2007-04-20	2007.29863013699
EPI_ISL_23365|Victoria|HA|Southeast_Asia|SouthChina|2007-06-22	2007.47123287671
EPI_ISL_20660|Victoria|HA|Southeast_Asia|SouthChina|2007-05-14	2007.36438356164
KY848346|Victoria|HA|Southeast_Asia|SouthChina|2007-06-11	2007.44109589041
EPI_ISL_23358|Victoria|HA|Southeast_Asia|SouthChina|2007-12-27	2007.98630136986
GU323496|Victoria|HA|Southeast_Asia|SouthKorea|2007-12-23	2007.97534246575
EPI_ISL_20706|Victoria|HA|Southeast_Asia|TaiwanChina|2007-02-09	2007.10684931507
KR733254|Victoria|HA|Southeast_Asia|TaiwanChina|2007-03-19	2007.21095890411
EPI_ISL_12609|Victoria|HA|Southeast_Asia|TaiwanChina|2007	2007.43012465753
EPI_ISL_12611|Victoria|HA|Southeast_Asia|TaiwanChina|2007	2007.42912465753
EPI_ISL_21639|Victoria|HA|Southeast_Asia|Thailand|2007-10-30	2007.82739726027
EPI_ISL_20703|Victoria|HA|Southeast_Asia|Thailand|2007-01-15	2007.03835616438
EPI_ISL_21643|Victoria|HA|Southeast_Asia|Thailand|2007-10-09	2007.7698630137
EPI_ISL_20627|Victoria|HA|Southeast_Asia|Vietnam|2007-04-11	2007.27397260274
EPI_ISL_28249|Victoria|HA|Southeast_Asia|Bangladesh|2008-06-15	2008.45355191257
EPI_ISL_33074|Victoria|HA|Southeast_Asia|CentralChina|2008-11-03	2008.83879781421
EPI_ISL_23462|Victoria|HA|Southeast_Asia|CentralChina|2008-04-27	2008.31967213115
EPI_ISL_27972|Victoria|HA|Southeast_Asia|CentralChina|2008-10-31	2008.8306010929
KP460801|Victoria|HA|Southeast_Asia|CentralChina|2008-10-13	2008.78142076503
EPI_ISL_29446|Victoria|HA|Southeast_Asia|CentralChina|2008-03-05	2008.17486338798
MF955489|Victoria|HA|Southeast_Asia|HongkongChina|2008-03	2008.20472465753
EPI_ISL_25828|Victoria|HA|Southeast_Asia|India|2008-05-23	2008.39071038251
JF693244|Victoria|HA|Southeast_Asia|India|2008-10-10	2008.77322404372
JF693245|Victoria|HA|Southeast_Asia|India|2008-10-23	2008.8087431694
JF693243|Victoria|HA|Southeast_Asia|India|2008-08-04	2008.59016393443
EPI_ISL_27669|Victoria|HA|Southeast_Asia|India|2008-10-01	2008.74863387978
EPI_ISL_29562|Victoria|HA|Southeast_Asia|India|2008-09-18	2008.7131147541
EPI_ISL_27978|Victoria|HA|Southeast_Asia|Japan|2008-12-02	2008.91803278689
KC457391|Victoria|HA|Southeast_Asia|Japan|2008-01-16	2008.04098360656
EPI_ISL_23453|Victoria|HA|Southeast_Asia|Japan|2008-03-17	2008.20765027322
EPI_ISL_33063|Victoria|HA|Southeast_Asia|Japan|2008-12-01	2008.91530054645
EPI_ISL_26406|Victoria|HA|Southeast_Asia|Japan|2008-11-09	2008.85519125683
EPI_ISL_28053|Victoria|HA|Southeast_Asia|Japan|2008-11-06	2008.84699453552
KC457411|Victoria|HA|Southeast_Asia|Japan|2008-01-29	2008.07650273224
KC457409|Victoria|HA|Southeast_Asia|Japan|2008-01-29	2008.07650273224
EPI_ISL_23470|Victoria|HA|Southeast_Asia|Japan|2008-02-28	2008.15846994536
KT424132|Victoria|HA|Southeast_Asia|NorthChina|2008-03-12	2008.19398907104
KP461002|Victoria|HA|Southeast_Asia|NorthChina|2008-10-30	2008.82786885246
KP459735|Victoria|HA|Southeast_Asia|NorthChina|2008-12-18	2008.96174863388
EPI_ISL_29239|Victoria|HA|Southeast_Asia|Philippines|2008-11-03	2008.83879781421
EPI_ISL_28578|Victoria|HA|Southeast_Asia|Philippines|2008-11-25	2008.89890710383
EPI_ISL_23946|Victoria|HA|Southeast_Asia|Singapore|2008-04-08	2008.26775956284
EPI_ISL_33056|Victoria|HA|Southeast_Asia|Singapore|2008-11-05	2008.84426229508
KP233480|Victoria|HA|Southeast_Asia|SouthChina|2008-12-31	2008.99726775956
KP233482|Victoria|HA|Southeast_Asia|SouthChina|2008-12-31	2008.99726775956
EPI_ISL_23458|Victoria|HA|Southeast_Asia|SouthChina|2008-03-02	2008.16666666667
EPI_ISL_23942|Victoria|HA|Southeast_Asia|SouthKorea|2008-01-24	2008.06284153005
GU323495|Victoria|HA|Southeast_Asia|SouthKorea|2008-01-07	2008.01639344262
GU323497|Victoria|HA|Southeast_Asia|SouthKorea|2008-01-02	2008.00273224044
GU323499|Victoria|HA|Southeast_Asia|SouthKorea|2008-02-01	2008.08469945355
GU323500|Victoria|HA|Southeast_Asia|SouthKorea|2008-03-31	2008.24590163934
EPI_ISL_26167|Victoria|HA|Southeast_Asia|TaiwanChina|2008-03-12	2008.19398907104
EPI_ISL_23165|Victoria|HA|Southeast_Asia|Thailand|2008-03-03	2008.1693989071
KP461451|Victoria|HA|Southeast_Asia|Bangladesh|2009-11-14	2009.86849315069
KP461386|Victoria|HA|Southeast_Asia|Bangladesh|2009-10-27	2009.81917808219
OP678301|Victoria|HA|Southeast_Asia|Bhutan|2009-09-23	2009.72602739726
OP678299|Victoria|HA|Southeast_Asia|Bhutan|2009-05-16	2009.3698630137
JN588962|Victoria|HA|Southeast_Asia|Cambodia|2009-11-10	2009.85753424658
JN588964|Victoria|HA|Southeast_Asia|Cambodia|2009-12-29	2009.99178082192
EPI_ISL_61857|Victoria|HA|Southeast_Asia|Cambodia|2009-07-15	2009.53424657534
EPI_ISL_60933|Victoria|HA|Southeast_Asia|Cambodia|2009-04-02	2009.24931506849
KP460825|Victoria|HA|Southeast_Asia|CentralChina|2009-03-30	2009.24109589041
KP459503|Victoria|HA|Southeast_Asia|CentralChina|2009-12-24	2009.97808219178
